plant	treatment	replicate	block	samples 	fruit number	fruits weight	average fruit weight	shoots fresh weight	roots fresh weight	shoots dry weight	roots dry weight	shoots dry/fresh ratio	roots dry/fresh ratio	name_root	name_soil
Pepper	F+	1	Block1	TB1P+F+	6	86.96	14.49	72.2	13.01	12.65	2.64	0.18	0.2	R49	P1
Pepper	F+	2	Block1	TB1P+F+	4	73.8	18.45	42.3	13.23	6.72	2.7	0.16	0.2	R50	P2
Pepper	F+	3	Block1	TB1P+F+	7	127.06	18.15	85.54	19.15	14.06	3.58	0.16	0.19	R51	P3
Pepper	F-	1	Block1	TB1P+F-	3	27.11	9.04	35.45	7.21	5.52	1.1	0.16	0.15	R52	P7
Pepper	F-	2	Block1	TB1P+F-	3	47.55	15.85	46.81	7.33	7.08	1.51	0.15	0.21	R53	P8
Pepper	F-	3	Block1	TB1P+F-	3	49.62	16.54	39.86	8.43	6.58	1.81	0.17	0.22	R54	P9
Pepper	F+	1	Block2	TB2P+F+	2	52.87	26.44	45.81	9.74	7.67	1.9	0.17	0.19	R55	P13
Pepper	F+	2	Block2	TB2P+F+	3	98.05	32.68	67.14	12.17	11.88	2.65	0.18	0.22	R56	P14
Pepper	F+	3	Block2	TB2P+F+	5	121.13	24.23	80.45	13.3	13.39	2.55	0.17	0.19	R57	P15
Pepper	F-	1	Block2	TB2P+F-	3	55.83	18.61	30.8	8.64	5.98	2.23	0.19	0.26	R58	P19
Pepper	F-	2	Block2	TB2P+F-	4	52.55	13.14	41.54	9.07	7.59	1.48	0.18	0.16	R59	P20
Pepper	F-	3	Block2	TB2P+F-	3	44.79	14.93	52.15	10.99	9.19	2.19	0.18	0.2	R60	P21
Pepper	F+	1	Block3	TB3P+F+	3	76	25.33	39.61	7.96	7.44	1.28	0.19	0.16	R61	P25
Pepper	F+	2	Block3	TB3P+F+	4	103.9	25.98	56.69	14.02	10.72	2.09	0.19	0.15	R62	P26
Pepper	F+	3	Block3	TB3P+F+	5	196.92	39.38	74.4	12.9	13.27	2.41	0.18	0.19	R63	P27
Pepper	F-	1	Block3	TB3P+F-	1	36.64	36.64	19.5	8.88	5.07	1.42	0.26	0.16	R64	P31
Pepper	F-	2	Block3	TB3P+F-	1	28.31	28.31	13.88	5.89	2.54	1.06	0.18	0.18	R65	P32
Pepper	F-	3	Block3	TB3P+F-	3	92.32	30.77	38.05	8.97	6.94	1.67	0.18	0.19	R66	P33
Pepper	F+	1	Block4	TB4P+F+	2	47.75	23.88	38.76	7.29	6.96	1.28	0.18	0.18	R67	P37
Pepper	F+	2	Block4	TB4P+F+	6	105.15	17.53	61.24	8.69	10.05	1.65	0.16	0.19	R68	P38
Pepper	F+	3	Block4	TB4P+F+	5	90.73	18.15	61.07	9.12	10.12	1.6	0.17	0.18	R69	P39
Pepper	F-	1	Block4	TB4P+F-	3	47.59	15.86	31.67	7.22	5.75	1.41	0.18	0.2	R70	P43
Pepper	F-	2	Block4	TB4P+F-	4	78.73	19.68	48.4	7.46	8.49	1.4	0.18	0.19	R71	P44
Pepper	F-	3	Block4	TB4P+F-	4	63.88	15.97	32.71	6.32	5.03	1.11	0.15	0.18	R72	P45
Pepper	F+	1	Block5	TB5P+F+	4	48.18	12.05	29.65	4.76	5.13	0.88	0.17	0.19	R73	P49
Pepper	F+	2	Block5	TB5P+F+	6	130.26	21.71	79.37	13.41	13.25	2.62	0.17	0.2	R74	P50
Pepper	F+	3	Block5	TB5P+F+	4	85.64	21.41	68.88	14.33	11.55	3.11	0.17	0.22	R75	P51
Pepper	F-	1	Block5	TB5P+F-	3	64.96	21.65	36.89	9.07	6.42	1.66	0.17	0.18	R76	P55
Pepper	F-	2	Block5	TB5P+F-	3	79.08	26.36	35.87	8.62	5.88	1.45	0.16	0.17	R77	P56
Pepper	F-	3	Block5	TB5P+F-	3	38.27	12.76	25.39	6.91	3.99	1.08	0.16	0.16	R78	P57
Pepper	F+	1	Block6	TB6P+F+	6	154.16	25.69	73.93	13.21	12.41	2.68	0.17	0.2	R79	P61
Pepper	F+	2	Block6	TB6P+F+	3	32.07	10.69	32.12	10.68	5.68	1.71	0.18	0.16	R80	P62
Pepper	F+	3	Block6	TB6P+F+	7	164.61	23.52	81.33	15.75	13.43	2.88	0.17	0.18	R81	P63
Pepper	F-	1	Block6	TB6P+F-	3	44.81	14.94	30.73	8.34	5.35	1.62	0.17	0.19	R82	P67
Pepper	F-	2	Block6	TB6P+F-	3	64.02	21.34	31.27	6.83	5.42	1.24	0.17	0.18	R83	P68
Pepper	F-	3	Block6	TB6P+F-	4	70.11	17.53	35	9.57	6.1	1.51	0.17	0.16	R84	P69
Pepper	F+	1	Block7	TB7P+F+	5	220.3	44.06	89.35	14.11	14.93	3.14	0.17	0.22	R85	P73
Pepper	F+	2	Block7	TB7P+F+	3	126.7	42.23	71.89	13.52	11.9	2.73	0.17	0.2	R86	P74
Pepper	F+	3	Block7	TB7P+F+	3	73.95	24.65	38.82	10.87	6.31	2.32	0.16	0.21	R87	P75
Pepper	F-	1	Block7	TB7P+F-	2	53.78	26.89	23.52	7.23	4.25	1.49	0.18	0.21	R88	P79
Pepper	F-	2	Block7	TB7P+F-	3	60.97	20.32	37.82	8.92	6.94	1.83	0.18	0.21	R89	P80
Pepper	F-	3	Block7	TB7P+F-	3	33.11	11.04	20.66	4.97	3.52	1	0.17	0.2	R90	P81
Pepper	F+	1	Block8	TB8P+F+	5	176.8	35.36	64.62	16.4	10.67	2.85	0.17	0.17	R91	P85
